1.2800e+02, 7.5340e-04, 2.9434e-04, 7.6573e-04, 1.3863e-03, 7.8513e-04, 7.3360e-04, 1.1606e-03
1.6000e+02, 9.3124e-04, 4.4387e-04, 1.2018e-03, 2.7881e-03, 1.1654e-03, 1.1550e-03, 1.4471e-03
2.2400e+02, 1.6560e-03, 1.3539e-03, 2.2245e-03, 6.1436e-03, 2.2215e-03, 2.1865e-03, 2.0356e-03
3.2000e+02, 4.7061e-03, 3.0386e-03, 4.5987e-03, 1.5766e-02, 4.6628e-03, 4.5743e-03, 3.6510e-03
4.4800e+02, 6.8414e-02, 9.6279e-03, 9.7273e-03, 3.8624e-02, 9.5590e-03, 9.2379e-03, 6.0222e-03
6.0800e+02, 4.1439e-02, 2.3388e-02, 2.0401e-02, 9.0299e-02, 2.0526e-02, 2.0056e-02, 1.1170e-02
8.0000e+02, 8.5692e-02, 4.5182e-02, 4.1421e-02, 2.2688e-01, 4.1435e-02, 4.0335e-02, 2.1005e-02
1.0880e+03, 2.6592e-01, 1.0780e-01, 1.0768e-01, 1.0899e+00, 9.5902e-02, 9.3223e-02, 4.6633e-02
1.4720e+03, 7.0730e-01, 2.6400e-01, 2.7113e-01, 2.8300e+00, 2.2331e-01, 2.1624e-01, 9.7389e-02
1.9840e+03, 2.3506e+00, 1.0234e+00, 6.6170e-01, 7.5376e+00, 5.2271e-01, 5.0422e-01, 2.3126e-01
